p1,p2,r,p,var_set_1,var_set_2,p_adjust_bh
AvgDBH_large,PercentImp,-0.782675438962805,2.7291432723357507e-12,dep,ind,1.050720159849264e-10
PercPoor,PercBlk,0.38478332189042386,0.004066975695808556,dep,ind,0.01476912819900979
PercPoor,PercWhite,-0.343610822400408,0.010962030547817098,dep,ind,0.029810047651590982
PercPoor,mhhi20,-0.3697856500216167,0.00592205163901869,dep,ind,0.018239919048177566
PercPoor,bahigher20,-0.36607709076063916,0.006481637236461456,dep,ind,0.019195617969520466
PercPoor,avg_temp,-0.21870712049829147,0.11209224673566277,dep,ind,0.16923731369894182
PercPoor,vacant20,0.17036672566798655,0.2180728561837589,dep,ind,0.2708324181637006
PercPoor,PercentImp,-0.2794938556416551,0.04067950357537947,dep,ind,0.07830804438260548
PercGood,PercBlk,-0.4081375888217285,0.0021867261137407104,dep,ind,0.01052361942237717
PercGood,PercWhite,0.39872454920934025,0.0028230436556542617,dep,ind,0.012647455882545932
PercGood,mhhi20,0.39186195775392946,0.003385382443846179,dep,ind,0.01371970779874504
PercGood,bahigher20,0.4497907229832123,6.442382826248502e-4,dep,ind,0.003450760013425268
PercGood,avg_temp,0.21676367031707,0.11539668425543743,dep,ind,0.1708758593782439
PercGood,vacant20,-0.299679075669658,0.027698967324605507,dep,ind,0.062730014235136
PercGood,PercentImp,0.22577533099140665,0.10068237941275837,dep,ind,0.1582151676486203
PercDead,PercBlk,0.38791245199351265,0.003752044066724058,dep,ind,0.014445369656887624
PercDead,PercWhite,-0.37256529327171706,0.005530796749052348,dep,ind,0.017744639569876285
PercDead,mhhi20,-0.2583856545970238,0.05922971110771057,dep,ind,0.10606250593706311
PercDead,bahigher20,-0.3804415007896782,0.004542452089841979,dep,ind,0.015207339605123148
PercDead,avg_temp,-0.34154403145006557,0.011484153574310024,dep,ind,0.029810047651590982
PercDead,vacant20,0.03960907084699389,0.7761291302782847,dep,ind,0.83002698654761
PercDead,PercentImp,-0.38334162509650754,0.0042197509140027975,dep,ind,0.01476912819900979
